code,muni_name,prefecture,land_component,in_scope,block,exclusion_reason,area_km2,graph_component
01100,札幌市,北海道,1,TRUE,Hokkaido,NA,1121.055,1
01202,函館市,北海道,1,TRUE,Hokkaido,NA,677.117,1
01203,小樽市,北海道,1,TRUE,Hokkaido,NA,243.108,1
01204,旭川市,北海道,1,TRUE,Hokkaido,NA,748.003,1
01205,室蘭市,北海道,1,TRUE,Hokkaido,NA,80.366,1
01206,釧路市,北海道,1,TRUE,Hokkaido,NA,221.672,1
01207,帯広市,北海道,1,TRUE,Hokkaido,NA,619.213,1
01208,北見市,北海道,1,TRUE,Hokkaido,NA,422.21,1
01209,夕張市,北海道,1,TRUE,Hokkaido,NA,763.416,1
01210,岩見沢市,北海道,1,TRUE,Hokkaido,NA,204.714,1
01211,網走市,北海道,1,TRUE,Hokkaido,NA,392.052,1
01212,留萌市,北海道,1,TRUE,Hokkaido,NA,297.41,1
01213,苫小牧市,北海道,1,TRUE,Hokkaido,NA,560.337,1
01214,稚内市,北海道,1,TRUE,Hokkaido,NA,760.751,1
01215,美唄市,北海道,1,TRUE,Hokkaido,NA,277.881,1
01216,芦別市,北海道,1,TRUE,Hokkaido,NA,865.319,1
01217,江別市,北海道,1,TRUE,Hokkaido,NA,187.174,1
01218,赤平市,北海道,1,TRUE,Hokkaido,NA,129.841,1
01219,紋別市,北海道,1,TRUE,Hokkaido,NA,834.321,1
01220,士別市,北海道,1,TRUE,Hokkaido,NA,1119.65,1
01221,名寄市,北海道,1,TRUE,Hokkaido,NA,314.443,1
01222,三笠市,北海道,1,TRUE,Hokkaido,NA,302.803,1
01223,根室市,北海道,1,TRUE,Hokkaido,NA,544.002,1
01224,千歳市,北海道,1,TRUE,Hokkaido,NA,515.716,1
01225,滝川市,北海道,1,TRUE,Hokkaido,NA,115.861,1
01226,砂川市,北海道,1,TRUE,Hokkaido,NA,78.965,1
01227,歌志内市,北海道,1,TRUE,Hokkaido,NA,55.789,1
01228,深川市,北海道,1,TRUE,Hokkaido,NA,528.972,1
01229,富良野市,北海道,1,TRUE,Hokkaido,NA,600.766,1
01230,登別市,北海道,1,TRUE,Hokkaido,NA,211.97,1
01231,恵庭市,北海道,1,TRUE,Hokkaido,NA,294.082,1
01233,伊達市,北海道,1,TRUE,Hokkaido,NA,174.454,1
01234,北広島市,北海道,1,TRUE,Hokkaido,NA,119.071,1
01235,石狩市,北海道,1,TRUE,Hokkaido,NA,721.819,1
01303,石狩支庁当別町,北海道,1,TRUE,Hokkaido,NA,423.534,1
01304,石狩支庁新篠津村,北海道,1,TRUE,Hokkaido,NA,77.493,1
01331,渡島支庁松前町,北海道,1,TRUE,Hokkaido,NA,292.832,1
01332,渡島支庁福島町,北海道,1,TRUE,Hokkaido,NA,187.124,1
01333,渡島支庁知内町,北海道,1,TRUE,Hokkaido,NA,196.84,1
01334,渡島支庁木古内町,北海道,1,TRUE,Hokkaido,NA,221.745,1
01335,渡島支庁上磯町,北海道,1,TRUE,Hokkaido,NA,262.435,1
01336,渡島支庁大野町,北海道,1,TRUE,Hokkaido,NA,134.884,1
01337,渡島支庁七飯町,北海道,1,TRUE,Hokkaido,NA,216.583,1
01343,渡島支庁鹿部町,北海道,1,TRUE,Hokkaido,NA,110.516,1
01345,渡島支庁森町,北海道,1,TRUE,Hokkaido,NA,368.32,1
01346,渡島支庁八雲町,北海道,1,TRUE,Hokkaido,NA,955.765,1
01347,渡島支庁長万部町,北海道,1,TRUE,Hokkaido,NA,310.813,1
01361,檜山支庁江差町,北海道,1,TRUE,Hokkaido,NA,109.362,1
01362,檜山支庁上ノ国町,北海道,1,TRUE,Hokkaido,NA,547.546,1
01363,檜山支庁厚沢部町,北海道,1,TRUE,Hokkaido,NA,460.325,1
01364,檜山支庁乙部町,北海道,1,TRUE,Hokkaido,NA,162.466,1
01367,檜山支庁奥尻町,北海道,2,FALSE,NA,island with no permanent road link to a main island,142.562,2
01370,檜山支庁今金町,北海道,1,TRUE,Hokkaido,NA,567.986,1
01371,檜山支庁せたな町,北海道,1,TRUE,Hokkaido,NA,638.552,1
01391,後志支庁島牧村,北海道,1,TRUE,Hokkaido,NA,437.456,1
01392,後志支庁寿都町,北海道,1,TRUE,Hokkaido,NA,95.329,1
01393,後志支庁黒松内町,北海道,1,TRUE,Hokkaido,NA,345.413,1
01394,後志支庁蘭越町,北海道,1,TRUE,Hokkaido,NA,449.741,1
01395,後志支庁ニセコ町,北海道,1,TRUE,Hokkaido,NA,197.813,1
01396,後志支庁真狩村,北海道,1,TRUE,Hokkaido,NA,113.961,1
01397,後志支庁留寿都村,北海道,1,TRUE,Hokkaido,NA,120.023,1
01398,後志支庁喜茂別町,北海道,1,TRUE,Hokkaido,NA,188.256,1
01399,後志支庁京極町,北海道,1,TRUE,Hokkaido,NA,232.607,1
01400,後志支庁倶知安町,北海道,1,TRUE,Hokkaido,NA,260.969,1
01401,後志支庁共和町,北海道,1,TRUE,Hokkaido,NA,304.88,1
01402,後志支庁岩内町,北海道,1,TRUE,Hokkaido,NA,70.285,1
01403,後志支庁泊村,北海道,1,TRUE,Hokkaido,NA,82.319,1
01404,後志支庁神恵内村,北海道,1,TRUE,Hokkaido,NA,147.64,1
01405,後志支庁積丹町,北海道,1,TRUE,Hokkaido,NA,237.759,1
01406,後志支庁古平町,北海道,1,TRUE,Hokkaido,NA,188.504,1
01407,後志支庁仁木町,北海道,1,TRUE,Hokkaido,NA,168.073,1
01408,後志支庁余市町,北海道,1,TRUE,Hokkaido,NA,140.476,1
01409,後志支庁赤井川村,北海道,1,TRUE,Hokkaido,NA,280.151,1
01421,空知支庁北村,北海道,1,TRUE,Hokkaido,NA,96.302,1
01422,空知支庁栗沢町,北海道,1,TRUE,Hokkaido,NA,180.05,1
01423,空知支庁南幌町,北海道,1,TRUE,Hokkaido,NA,81.338,1
01424,空知支庁奈井江町,北海道,1,TRUE,Hokkaido,NA,87.077,1
01425,空知支庁上砂川町,北海道,1,TRUE,Hokkaido,NA,40.964,1
01427,空知支庁由仁町,北海道,1,TRUE,Hokkaido,NA,133.827,1
01428,空知支庁長沼町,北海道,1,TRUE,Hokkaido,NA,168.418,1
01429,空知支庁栗山町,北海道,1,TRUE,Hokkaido,NA,203.713,1
01430,空知支庁月形町,北海道,1,TRUE,Hokkaido,NA,150.452,1
01431,空知支庁浦臼町,北海道,1,TRUE,Hokkaido,NA,101.508,1
01432,空知支庁新十津川町,北海道,1,TRUE,Hokkaido,NA,495.174,1
01433,空知支庁妹背牛町,北海道,1,TRUE,Hokkaido,NA,48.226,1
01434,空知支庁秩父別町,北海道,1,TRUE,Hokkaido,NA,47.753,1
01436,空知支庁雨竜町,北海道,1,TRUE,Hokkaido,NA,191.025,1
01437,空知支庁北竜町,北海道,1,TRUE,Hokkaido,NA,158.828,1
01438,空知支庁沼田町,北海道,1,TRUE,Hokkaido,NA,283.071,1
01439,空知支庁幌加内町,北海道,1,TRUE,Hokkaido,NA,766.439,1
01452,上川支庁鷹栖町,北海道,1,TRUE,Hokkaido,NA,139.31,1
01453,上川支庁東神楽町,北海道,1,TRUE,Hokkaido,NA,68.898,1
01454,上川支庁当麻町,北海道,1,TRUE,Hokkaido,NA,204.836,1
01455,上川支庁比布町,北海道,1,TRUE,Hokkaido,NA,87.092,1
01456,上川支庁愛別町,北海道,1,TRUE,Hokkaido,NA,249.609,1
01457,上川支庁上川町,北海道,1,TRUE,Hokkaido,NA,1049.247,1
01458,上川支庁東川町,北海道,1,TRUE,Hokkaido,NA,246.718,1
01459,上川支庁美瑛町,北海道,1,TRUE,Hokkaido,NA,677.007,1
01460,上川支庁上富良野町,北海道,1,TRUE,Hokkaido,NA,237.084,1
01461,上川支庁中富良野町,北海道,1,TRUE,Hokkaido,NA,108.624,1
01462,上川支庁南富良野町,北海道,1,TRUE,Hokkaido,NA,665.234,1
01463,上川支庁占冠村,北海道,1,TRUE,Hokkaido,NA,571.348,1
01464,上川支庁和寒町,北海道,1,TRUE,Hokkaido,NA,224.993,1
01465,上川支庁剣淵町,北海道,1,TRUE,Hokkaido,NA,130.935,1
01467,上川支庁風連町,北海道,1,TRUE,Hokkaido,NA,220.942,1
01468,上川支庁下川町,北海道,1,TRUE,Hokkaido,NA,644.426,1
01469,上川支庁美深町,北海道,1,TRUE,Hokkaido,NA,672.214,1
01470,上川支庁音威子府村,北海道,1,TRUE,Hokkaido,NA,275.678,1
01471,上川支庁中川町,北海道,1,TRUE,Hokkaido,NA,594.847,1
01481,留萌支庁増毛町,北海道,1,TRUE,Hokkaido,NA,369.634,1
01482,留萌支庁小平町,北海道,1,TRUE,Hokkaido,NA,627.611,1
01483,留萌支庁苫前町,北海道,1,TRUE,Hokkaido,NA,454.209,1
01484,留萌支庁羽幌町,北海道,1,TRUE,Hokkaido,NA,472.608,1
01485,留萌支庁初山別村,北海道,1,TRUE,Hokkaido,NA,279.044,1
01486,留萌支庁遠別町,北海道,1,TRUE,Hokkaido,NA,590.434,1
01487,留萌支庁天塩町,北海道,1,TRUE,Hokkaido,NA,354.251,1
01488,留萌支庁幌延町,北海道,1,TRUE,Hokkaido,NA,574.245,1
01511,宗谷支庁猿払村,北海道,1,TRUE,Hokkaido,NA,589.785,1
01512,宗谷支庁浜頓別町,北海道,1,TRUE,Hokkaido,NA,400.457,1
01513,宗谷支庁中頓別町,北海道,1,TRUE,Hokkaido,NA,398.523,1
01514,宗谷支庁枝幸町,北海道,1,TRUE,Hokkaido,NA,510.422,1
01515,宗谷支庁歌登町,北海道,1,TRUE,Hokkaido,NA,606.394,1
01516,宗谷支庁豊富町,北海道,1,TRUE,Hokkaido,NA,520.635,1
01517,宗谷支庁礼文町,北海道,3,FALSE,NA,island with no permanent road link to a main island,81.239,3
01518,宗谷支庁利尻町,北海道,4,FALSE,NA,island with no permanent road link to a main island,76.474,4
01519,宗谷支庁利尻富士町,北海道,4,FALSE,NA,island with no permanent road link to a main island,105.584,4
01541,網走支庁東藻琴村,北海道,1,TRUE,Hokkaido,NA,184.425,1
01542,網走支庁女満別町,北海道,1,TRUE,Hokkaido,NA,147.205,1
01543,網走支庁美幌町,北海道,1,TRUE,Hokkaido,NA,438.176,1
01544,網走支庁津別町,北海道,1,TRUE,Hokkaido,NA,716.248,1
01545,網走支庁斜里町,北海道,1,TRUE,Hokkaido,NA,736.39,1
01546,網走支庁清里町,北海道,1,TRUE,Hokkaido,NA,402.901,1
01547,網走支庁小清水町,北海道,1,TRUE,Hokkaido,NA,287.569,1
01548,網走支庁端野町,北海道,1,TRUE,Hokkaido,NA,162.774,1
01549,網走支庁訓子府町,北海道,1,TRUE,Hokkaido,NA,190.419,1
01550,網走支庁置戸町,北海道,1,TRUE,Hokkaido,NA,527.532,1
01551,網走支庁留辺蘂町,北海道,1,TRUE,Hokkaido,NA,564.628,1
01552,網走支庁佐呂間町,北海道,1,TRUE,Hokkaido,NA,350.666,1
01553,網走支庁常呂町,北海道,1,TRUE,Hokkaido,NA,226.185,1
01555,網走支庁遠軽町,北海道,1,TRUE,Hokkaido,NA,1327.688,1
01558,網走支庁上湧別町,北海道,1,TRUE,Hokkaido,NA,159.788,1
01559,網走支庁湧別町,北海道,1,TRUE,Hokkaido,NA,301.578,1
01560,網走支庁滝上町,北海道,1,TRUE,Hokkaido,NA,766.989,1
01561,網走支庁興部町,北海道,1,TRUE,Hokkaido,NA,362.586,1
01562,網走支庁西興部村,北海道,1,TRUE,Hokkaido,NA,307.86,1
