living_mun,commute_mun,year,pop,tot_pop_living_mun
1101,1101,2010,54938,77147
1101,1102,2010,4008,77147
1101,1103,2010,2700,77147
1101,1104,2010,2817,77147
1101,1105,2010,2465,77147
1101,1106,2010,1461,77147
1101,1107,2010,3282,77147
1101,1108,2010,1055,77147
1101,1109,2010,858,77147
1101,1110,2010,470,77147
1101,1202,2010,17,77147
1101,1203,2010,460,77147
1101,1204,2010,69,77147
1101,1205,2010,34,77147
1101,1206,2010,17,77147
1101,1207,2010,26,77147
1101,1208,2010,9,77147
1101,1209,2010,6,77147
1101,1210,2010,177,77147
1101,1211,2010,3,77147
1101,1212,2010,9,77147
1101,1213,2010,134,77147
1101,1214,2010,7,77147
1101,1215,2010,28,77147
1101,1216,2010,7,77147
1101,1217,2010,373,77147
1101,1218,2010,3,77147
1101,1219,2010,1,77147
1101,1221,2010,4,77147
1101,1222,2010,5,77147
1101,1223,2010,3,77147
1101,1224,2010,255,77147
1101,1225,2010,24,77147
1101,1226,2010,18,77147
1101,1227,2010,1,77147
1101,1228,2010,4,77147
1101,1229,2010,6,77147
1101,1230,2010,9,77147
1101,1231,2010,182,77147
1101,1233,2010,8,77147
1101,1234,2010,302,77147
1101,1235,2010,356,77147
1101,1236,2010,1,77147
1101,1303,2010,98,77147
1101,1304,2010,3,77147
1101,1333,2010,2,77147
1101,1337,2010,1,77147
1101,1345,2010,1,77147
1101,1346,2010,1,77147
1101,1347,2010,1,77147
1101,1361,2010,1,77147
1101,1363,2010,2,77147
1101,1367,2010,2,77147
1101,1371,2010,1,77147
1101,1392,2010,1,77147
1101,1394,2010,2,77147
1101,1395,2010,1,77147
1101,1396,2010,4,77147
1101,1397,2010,5,77147
1101,1398,2010,1,77147
1101,1399,2010,5,77147
1101,1400,2010,16,77147
1101,1402,2010,10,77147
1101,1403,2010,9,77147
1101,1404,2010,1,77147
1101,1407,2010,1,77147
1101,1408,2010,16,77147
1101,1409,2010,2,77147
1101,1423,2010,14,77147
1101,1424,2010,6,77147
1101,1427,2010,5,77147
1101,1428,2010,13,77147
1101,1429,2010,5,77147
1101,1430,2010,3,77147
1101,1432,2010,5,77147
1101,1453,2010,1,77147
1101,1454,2010,1,77147
1101,1457,2010,1,77147
1101,1458,2010,1,77147
1101,1459,2010,1,77147
1101,1460,2010,1,77147
1101,1463,2010,2,77147
1101,1468,2010,1,77147
1101,1472,2010,1,77147
1101,1483,2010,1,77147
1101,1484,2010,2,77147
1101,1486,2010,2,77147
1101,1519,2010,1,77147
1101,1520,2010,1,77147
1101,1545,2010,2,77147
1101,1550,2010,1,77147
1101,1555,2010,1,77147
1101,1559,2010,1,77147
1101,1560,2010,1,77147
1101,1561,2010,2,77147
1101,1575,2010,3,77147
1101,1578,2010,5,77147
1101,1584,2010,11,77147
1101,1585,2010,4,77147
1101,1586,2010,4,77147
1101,1601,2010,9,77147
1101,1602,2010,2,77147
1101,1604,2010,1,77147
1101,1607,2010,2,77147
1101,1609,2010,1,77147
1101,1610,2010,8,77147
1101,1631,2010,2,77147
1101,1632,2010,1,77147
1101,1634,2010,1,77147
1101,1635,2010,2,77147
1101,1642,2010,1,77147
1101,1644,2010,3,77147
1101,1661,2010,1,77147
1101,1662,2010,1,77147
1101,1665,2010,1,77147
1101,1668,2010,1,77147
1101,1691,2010,1,77147
1101,1692,2010,3,77147
1101,1694,2010,1,77147
1101,2201,2010,3,77147
1101,2203,2010,1,77147
1101,4101,2010,7,77147
1101,4102,2010,2,77147
1101,4211,2010,1,77147
1101,4213,2010,1,77147
1101,4424,2010,1,77147
1101,5202,2010,1,77147
1101,7201,2010,1,77147
1101,7202,2010,1,77147
1101,7203,2010,1,77147
1101,8201,2010,1,77147
1101,8202,2010,1,77147
1101,9201,2010,2,77147
1101,9204,2010,1,77147
1101,10202,2010,1,77147
1101,11103,2010,1,77147
1101,11104,2010,1,77147
1101,11203,2010,1,77147
1101,11225,2010,1,77147
1101,11239,2010,1,77147
1101,11241,2010,1,77147
1101,12101,2010,1,77147
1101,12102,2010,1,77147
1101,12211,2010,1,77147
1101,12216,2010,1,77147
1101,12219,2010,1,77147
1101,13101,2010,17,77147
1101,13102,2010,15,77147
1101,13103,2010,16,77147
1101,13104,2010,12,77147
1101,13105,2010,4,77147
1101,13106,2010,1,77147
1101,13107,2010,2,77147
1101,13108,2010,7,77147
1101,13109,2010,5,77147
1101,13110,2010,2,77147
1101,13111,2010,7,77147
1101,13112,2010,2,77147
1101,13113,2010,9,77147
1101,13115,2010,1,77147
1101,13116,2010,3,77147
1101,13117,2010,2,77147
1101,13119,2010,1,77147
1101,13120,2010,2,77147
1101,13121,2010,1,77147
1101,13201,2010,3,77147
1101,13202,2010,1,77147
1101,13204,2010,1,77147
1101,13208,2010,1,77147
1101,13224,2010,1,77147
1101,14102,2010,1,77147
1101,14103,2010,4,77147
1101,14106,2010,1,77147
1101,14107,2010,1,77147
1101,14109,2010,1,77147
1101,14131,2010,1,77147
1101,14133,2010,1,77147
1101,14201,2010,1,77147
1101,14203,2010,1,77147
1101,14212,2010,1,77147
1101,17201,2010,1,77147
1101,17203,2010,1,77147
1101,17206,2010,1,77147
1101,17212,2010,1,77147
1101,19206,2010,1,77147
1101,20201,2010,2,77147
1101,22102,2010,2,77147
1101,22103,2010,1,77147
1101,22206,2010,1,77147
1101,22219,2010,1,77147
1101,23106,2010,1,77147
1101,23214,2010,1,77147
1101,23220,2010,1,77147
1101,24201,2010,1,77147
1101,24212,2010,1,77147
1101,25201,2010,1,77147
1101,26105,2010,1,77147
1101,26110,2010,1,77147
1101,27118,2010,1,77147
1101,27127,2010,2,77147
1101,27128,2010,1,77147
1101,27141,2010,1,77147
1101,27202,2010,1,77147
1101,27204,2010,1,77147
1101,28105,2010,1,77147
1101,28110,2010,1,77147
1101,28111,2010,1,77147
1101,28207,2010,1,77147
1101,30201,2010,1,77147
1101,36201,2010,1,77147
1101,40218,2010,1,77147
