living_mun,commute_mun,pop,tot_pop_living_mun,year
1101,1101,54938,77147,2010
1101,1102,4008,77147,2010
1101,1103,2700,77147,2010
1101,1104,2817,77147,2010
1101,1105,2465,77147,2010
1101,1106,1461,77147,2010
1101,1107,3282,77147,2010
1101,1108,1055,77147,2010
1101,1109,858,77147,2010
1101,1110,470,77147,2010
1101,1202,17,77147,2010
1101,1203,460,77147,2010
1101,1204,69,77147,2010
1101,1205,34,77147,2010
1101,1206,17,77147,2010
1101,1207,26,77147,2010
1101,1208,9,77147,2010
1101,1209,6,77147,2010
1101,1210,177,77147,2010
1101,1211,3,77147,2010
1101,1212,9,77147,2010
1101,1213,134,77147,2010
1101,1214,7,77147,2010
1101,1215,28,77147,2010
1101,1216,7,77147,2010
1101,1217,373,77147,2010
1101,1218,3,77147,2010
1101,1219,1,77147,2010
1101,1221,4,77147,2010
1101,1222,5,77147,2010
1101,1223,3,77147,2010
1101,1224,255,77147,2010
1101,1225,24,77147,2010
1101,1226,18,77147,2010
1101,1227,1,77147,2010
1101,1228,4,77147,2010
1101,1229,6,77147,2010
1101,1230,9,77147,2010
1101,1231,182,77147,2010
1101,1233,8,77147,2010
1101,1234,302,77147,2010
1101,1235,356,77147,2010
1101,1236,1,77147,2010
1101,1303,98,77147,2010
1101,1304,3,77147,2010
1101,1333,2,77147,2010
1101,1337,1,77147,2010
1101,1345,1,77147,2010
1101,1346,1,77147,2010
1101,1347,1,77147,2010
1101,1361,1,77147,2010
1101,1363,2,77147,2010
1101,1367,2,77147,2010
1101,1371,1,77147,2010
1101,1392,1,77147,2010
1101,1394,2,77147,2010
1101,1395,1,77147,2010
1101,1396,4,77147,2010
1101,1397,5,77147,2010
1101,1398,1,77147,2010
1101,1399,5,77147,2010
1101,1400,16,77147,2010
1101,1402,10,77147,2010
1101,1403,9,77147,2010
1101,1404,1,77147,2010
1101,1407,1,77147,2010
1101,1408,16,77147,2010
1101,1409,2,77147,2010
1101,1423,14,77147,2010
1101,1424,6,77147,2010
1101,1427,5,77147,2010
1101,1428,13,77147,2010
1101,1429,5,77147,2010
1101,1430,3,77147,2010
1101,1432,5,77147,2010
1101,1453,1,77147,2010
1101,1454,1,77147,2010
1101,1457,1,77147,2010
1101,1458,1,77147,2010
1101,1459,1,77147,2010
1101,1460,1,77147,2010
1101,1463,2,77147,2010
1101,1468,1,77147,2010
1101,1472,1,77147,2010
1101,1483,1,77147,2010
1101,1484,2,77147,2010
1101,1486,2,77147,2010
1101,1519,1,77147,2010
1101,1520,1,77147,2010
1101,1545,2,77147,2010
1101,1550,1,77147,2010
1101,1555,1,77147,2010
1101,1559,1,77147,2010
1101,1560,1,77147,2010
1101,1561,2,77147,2010
1101,1575,3,77147,2010
1101,1578,5,77147,2010
1101,1584,11,77147,2010
1101,1585,4,77147,2010
1101,1586,4,77147,2010
1101,1601,9,77147,2010
1101,1602,2,77147,2010
1101,1604,1,77147,2010
1101,1607,2,77147,2010
1101,1609,1,77147,2010
1101,1610,8,77147,2010
1101,1631,2,77147,2010
1101,1632,1,77147,2010
1101,1634,1,77147,2010
1101,1635,2,77147,2010
1101,1642,1,77147,2010
