i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,10
1216,15
1217,1
1218,15
1219,16
1220,17
1221,18
1222,10
1223,19
1224,1
1225,20
1226,20
1227,15
1228,21
1229,22
1230,5
1231,1
1233,5
1234,1
1235,1
1236,2
1303,1
1304,23
1331,24
1332,24
1333,2
1334,2
1337,2
1343,25
1345,25
1346,26
1347,27
1361,28
1362,28
1363,28
1364,28
1367,29
1370,30
1371,30
1391,31
1392,31
1393,27
1394,32
1395,32
1396,33
1397,34
1398,34
1399,32
1400,32
1401,35
1402,35
1403,35
1404,35
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,20
1425,20
1427,36
1428,36
1429,36
1430,37
1431,37
1432,20
1433,21
1434,21
1436,20
1437,21
1438,21
1452,4
1453,4
1454,4
1455,4
1456,38
1457,38
1458,4
1459,4
1460,22
1461,22
1462,39
1463,39
1464,17
1465,17
1468,18
1469,18
1470,40
1471,41
1472,42
1481,12
1482,12
1483,43
1484,43
1485,43
1486,44
1487,44
1511,45
1512,45
1513,45
1514,46
1516,14
1517,47
1518,48
1519,48
1520,41
1543,11
1544,11
1545,49
1546,49
1547,49
1549,8
1550,8
1552,50
1555,51
1559,51
1560,52
1561,16
1562,16
1563,53
1564,11
1571,5
1575,5
1578,5
1581,13
1584,5
1585,13
1586,13
1601,54
1602,54
1604,55
1607,56
1608,56
1609,57
1610,55
1631,7
1632,58
1633,58
1634,59
1635,60
1636,60
1637,7
1638,61
1639,62
1641,63
1642,63
1643,7
1644,7
1645,64
1646,65
1647,65
1648,65
1649,64
1661,6
1662,66
1663,67
1664,68
1665,68
1667,6
1668,6
1691,69
1692,70
1693,70
1694,71
2201,72
2202,73
2203,74
2204,73
2205,75
2206,76
2207,76
2208,77
2209,75
2210,73
2301,72
2303,72
2304,72
2307,72
2321,78
2323,78
2343,73
2361,73
2362,73
2367,73
2381,79
2384,75
2387,75
2401,76
2402,76
2405,76
2406,77
2408,76
2411,80
2412,74
2423,81
2424,77
2425,81
2426,81
2441,82
2442,74
2443,82
2445,82
2446,74
2450,74
3201,83
3202,84
3203,85
3205,86
3206,86
3207,87
3208,88
3209,89
3210,85
3211,84
3213,90
3214,83
3215,86
3216,83
3301,83
3302,91
3303,83
3321,83
3322,83
3366,86
3381,86
3402,89
3441,85
3461,84
3482,84
3483,92
3484,92
3485,87
3501,90
3503,87
3506,90
3507,74
3524,90
4100,93
4202,94
4203,93
4205,95
4206,96
4207,93
4208,96
4209,93
4211,93
4212,97
4213,97
4214,94
4215,98
4301,96
4302,96
4321,96
4322,96
4323,96
4324,99
4341,96
4361,93
4362,93
4401,93
4404,93
4406,93
4421,93
4422,93
4423,93
4424,93
4444,98
4445,98
4501,98
4505,98
4581,94
4606,95
5201,100
5202,101
5203,102
5204,103
5206,100
5207,102
5209,103
5210,104
5211,100
5212,105
5213,106
5214,104
5215,105
5303,103
5327,106
5346,101
5348,101
5349,101
5361,100
5363,100
5366,100
5368,100
5434,105
5463,102
5464,102
6201,107
6202,108
6203,109
6204,109
6205,110
6206,107
6207,107
6208,107
6209,111
6210,107
6211,107
6212,112
6213,108
6301,107
6302,107
6321,107
6322,107
6323,107
6324,107
6341,112
6361,110
6362,113
6363,110
6364,110
6365,110
6366,110
6367,110
6381,108
6382,108
6401,114
6402,111
6403,111
6426,109
6428,109
6461,109
7201,115
7202,116
7203,117
7204,118
7205,119
7207,120
7208,116
7209,121
7210,117
7211,122
7212,118
7213,115
7214,117
7301,115
7303,115
7308,115
7322,117
7342,120
7344,120
