i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,10
1216,15
1217,1
1218,15
1219,16
1220,17
1221,18
1222,10
1223,19
1224,13
1225,15
1226,15
1227,15
1228,20
1229,21
1230,5
1231,13
1233,5
1301,1
1302,1
1303,1
1304,1
1305,1
1306,22
1331,23
1332,23
1333,2
1334,2
1335,2
1336,2
1337,2
1339,2
1340,24
1341,24
1342,25
1343,2
1344,2
1345,2
1346,26
1347,26
1361,27
1362,27
1363,27
1364,27
1365,28
1366,28
1367,29
1368,30
1369,30
1370,30
1391,31
1392,31
1393,26
1394,32
1395,32
1396,32
1397,32
1398,32
1399,32
1400,32
1401,33
1402,33
1403,33
1404,33
1405,3
1406,3
1407,3
1408,3
1409,3
1421,10
1422,10
1423,1
1424,15
1425,15
1427,9
1428,9
1429,9
1430,10
1431,15
1432,15
1433,20
1434,20
1436,15
1437,20
1438,20
1439,34
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,21
1461,21
1462,21
1463,21
1464,17
1465,17
1466,17
1467,18
1468,18
1469,35
1470,35
1471,36
1481,12
1482,12
1483,37
1484,37
1485,37
1486,38
1487,38
1488,38
1511,39
1512,39
1513,39
1514,40
1515,40
1516,14
1517,41
1518,42
1519,42
1541,11
1542,11
1543,11
1544,11
1545,43
1546,43
1547,43
1548,8
1549,8
1550,8
1551,8
1552,44
1553,45
1554,46
1555,46
1556,46
1557,47
1558,46
1559,46
1560,48
1561,16
1562,16
1563,16
1571,5
1572,5
1573,5
1574,5
1575,5
1578,13
1579,13
1580,13
1581,13
1582,13
1583,49
1601,50
1602,51
1603,51
1604,52
1605,52
1606,53
1607,53
1608,53
1609,54
1631,7
1632,7
1633,7
1634,55
1635,55
1636,55
1637,7
1638,7
1639,7
1640,56
1641,56
1642,56
1643,7
1644,7
1645,57
1646,58
1647,58
1648,58
1649,57
1661,6
1662,59
1663,59
1664,60
1665,60
1666,6
1667,6
1668,6
1669,6
1691,61
1692,61
1693,61
1694,62
2201,63
2202,64
2203,65
2204,64
2205,66
2206,67
2207,65
2208,68
2301,63
2302,63
2303,63
2304,63
2305,63
2306,63
2321,69
2322,66
2323,69
2324,66
2325,69
2326,66
2327,66
2328,70
2341,64
2342,64
2343,64
2361,64
2362,64
2363,64
2364,64
2365,64
2366,64
2367,64
2368,64
2381,66
2382,70
2383,70
2384,66
2385,70
2386,70
2401,71
2402,67
2403,65
2404,67
2405,67
2406,71
2407,67
2408,67
2409,67
2410,65
2411,71
2421,68
2422,68
2423,72
2424,68
2425,72
2426,72
2427,68
2441,73
2442,65
2443,73
2444,65
2445,73
2446,65
2447,65
2448,65
2449,65
2450,65
3201,74
3202,75
3203,76
3204,77
3205,78
3206,77
3207,79
3208,78
3209,80
3210,76
3211,81
3212,77
3213,82
3301,74
3302,83
3303,74
3304,74
3305,74
3306,74
3307,74
3321,74
3322,74
3341,78
3342,78
3361,78
3363,77
3365,77
3381,77
3382,77
3383,77
3384,80
3401,80
3402,80
3421,80
3422,80
3423,80
3424,80
3425,80
3426,80
3441,76
3442,76
3461,81
3462,78
3481,75
3482,75
3483,84
3484,84
3485,79
3486,75
3487,75
3501,82
3502,65
3503,79
3504,79
3505,79
3506,82
3521,82
3523,74
3524,82
4100,85
4202,86
4203,85
4204,87
4205,88
4206,89
4207,85
4208,89
4209,85
4211,85
4301,89
4302,89
4321,89
4322,89
4323,89
4324,85
4341,89
4361,85
4362,85
4401,85
4404,85
4406,85
4421,85
4422,85
4423,85
4424,85
4441,87
4442,87
