municipality,cz,size
1100,1,548335
1202,2,128398
1203,3,67787
1204,4,139066
1205,5,53581
1206,6,88865
1207,7,62222
1208,8,53316
1209,9,16017
1210,10,35299
1211,11,18380
1212,12,14509
1213,13,59869
1214,14,22027
1215,10,14472
1216,15,13084
1217,1,30534
1218,15,9726
1219,16,15079
1220,17,13955
1221,18,16205
1222,10,8680
1223,19,16919
1224,1,26323
1225,20,19470
1226,20,10073
1227,15,3558
1228,21,14336
1229,22,12145
1230,5,20181
1231,1,15804
1233,5,14918
1234,1,12171
1235,1,14660
1236,2,14221
1303,1,6218
1304,23,1817
1331,24,6014
1332,24,4055
1333,2,2434
1334,2,3311
1337,2,7861
1343,25,1622
1345,25,8565
1346,26,9986
1347,27,4128
1361,28,5105
1362,28,3176
1363,28,2726
1364,28,2538
1367,29,1874
1370,30,3835
1371,30,5684
1391,31,1101
1392,31,2148
1393,27,1712
1394,32,3286
1395,32,1896
1396,33,1572
1397,34,958
1398,34,1697
1399,32,1838
1400,32,7527
1401,35,3603
1402,35,7910
1403,35,930
1404,35,714
1405,3,1751
1406,3,2359
1407,3,2194
1408,3,10022
1409,3,609
1423,1,2268
1424,20,3781
1425,20,4131
1427,36,3678
1428,36,5471
1429,36,7136
1430,37,2238
1431,38,1679
1432,20,4043
1433,21,2637
1434,21,1742
1436,20,1697
1437,21,1556
1438,21,2547
1452,4,3259
1453,4,2268
1454,4,4361
1455,4,2660
1456,39,2510
1457,39,4562
1458,4,3568
1459,4,6578
1460,22,5530
1461,22,3073
1462,40,1987
1463,40,579
1464,17,2945
1465,17,2601
1468,18,2940
1469,18,3628
1470,41,867
1471,42,1461
1472,43,1707
1481,12,3120
1482,12,2490
1483,44,2361
1484,44,5315
1485,44,980
1486,45,1986
1487,45,2634
1511,46,1418
1512,46,2723
1513,46,1757
1514,47,5637
1516,14,2915
1517,48,2261
1518,49,2346
1519,49,2115
1520,50,1784
1543,11,10769
1544,11,4567
1545,51,7742
1546,51,3019
1547,51,3572
1549,8,3647
1550,8,2910
1552,52,3919
1555,53,12154
1559,53,6451
1560,54,2714
1561,16,2709
1562,16,715
1563,55,3627
1564,11,4449
1571,5,2330
1575,5,1821
1578,5,9081
1581,13,2820
1584,5,6099
1585,13,4427
1586,13,6011
1601,56,7570
1602,56,3591
1604,57,3075
1607,58,7607
1608,58,3140
1609,59,2823
1610,57,12731
1631,7,13329
1632,60,3179
1633,60,3337
1634,61,2931
1635,62,3998
1636,62,5837
1637,7,7405
1638,63,1783
1639,64,1805
1641,65,3528
1642,65,4528
1643,7,9588
1644,7,4964
1645,66,2242
1646,67,5733
1647,67,5280
1648,67,2116
1649,66,4051
1661,6,5289
1662,68,6330
1663,69,3820
1664,70,5159
1665,70,5380
1667,6,1026
1668,6,5877
1691,71,7848
1692,72,8707
1693,72,2927
1694,73,3649
2201,74,122064
2202,75,76571
2203,76,95276
2204,75,16775
2205,77,25646
2206,78,28699
2207,78,16196
2208,79,26098
2209,77,17402
2210,75,15798
2301,74,6668
2303,74,2655
2304,74,1687
2307,74,5878
2321,80,6600
2323,80,5489
2343,75,1225
2361,75,7377
2362,75,6703
2367,75,4253
2381,81,7913
2384,77,6520
2387,77,6853
2401,78,6538
2402,78,8759
2405,78,4558
2406,79,2265
2408,78,8965
2411,82,3519
2412,76,7038
2423,83,2660
2424,79,3501
2425,83,1444
2426,83,1507
2441,84,6201
2442,76,10191
2443,84,3808
2445,84,10248
2446,76,3633
2450,76,2015
3201,85,113542
3202,86,30867
3203,87,20678
3205,88,47591
3206,88,34751
3207,89,16431
3208,90,16368
3209,91,65086
3210,87,11513
3211,86,25041
3213,92,16214
3214,85,15654
3215,88,58969
3216,85,10425
3301,85,8542
3302,93,5080
3303,85,8635
3321,85,13604
3322,85,8063
3366,88,4488
3381,88,7158
3402,91,3981
3441,87,4229
3461,86,7478
3482,86,8604
3483,94,6775
3484,94,2067
3485,89,1657
3501,92,5459
3503,89,1839
3506,92,3747
3507,76,8640
3524,92,8509
4100,95,307439
4202,96,71906
4203,95,25282
4205,97,36709
4206,98,17315
4207,95,20011
4208,98,14898
4209,95,19651
4211,95,14414
4212,99,41069
4213,99,40092
4214,96,13656
4215,100,54039
4301,98,6043
4302,98,1287
4321,98,7998
4322,98,5974
4323,98,13049
4324,101,4669
4341,98,9220
4361,95,11448
4362,95,7463
4401,95,7140
4404,95,6390
4406,95,4605
4421,95,7410
4422,95,4338
4423,95,5102
4424,95,2222
4444,100,3902
4445,100,13412
4501,100,8375
4505,100,11554
4581,96,6573
4606,97,8593
5201,102,122451
5202,103,30029
5203,104,49472
5204,105,39737
5206,102,18772
5207,104,26731
5209,105,18787
5210,106,43542
5211,102,13046
5212,107,45149
5213,108,21023
5214,106,14112
5215,107,16536
5303,105,4114
5327,108,1767
5346,103,2453
5348,103,10762
5349,103,4804
5361,102,6253
5363,102,3270
5366,102,2524
5368,102,1213
5434,107,11234
5463,104,8588
5464,104,1726
6201,109,102208
6202,110,39354
6203,111,66146
6204,111,54990
6205,112,17923
6206,109,18416
6207,109,17516
6208,109,14676
6209,113,14873
6210,109,23616
6211,109,18126
6212,114,11885
6213,110,16205
6301,109,6405
6302,109,5338
