municipality,cz,size
1100,1,674336
1202,2,114912
1203,3,62004
1204,4,144040
1205,5,42899
1206,6,81009
1207,7,69900
1208,8,44628
1209,9,6963
1210,10,30648
1211,11,18384
1212,12,12855
1213,13,64482
1214,14,20404
1215,10,13284
1216,15,9651
1217,1,34851
1218,15,7238
1219,16,12793
1220,17,11149
1221,18,11924
1222,10,5647
1223,19,15346
1224,13,30455
1225,15,19696
1226,15,8943
1227,15,2642
1228,20,12996
1229,21,11794
1230,5,19764
1231,13,21260
1233,5,13268
1301,1,17168
1302,1,17218
1303,1,6599
1304,22,1912
1305,1,1263
1306,23,1021
1331,24,4795
1332,24,2743
1333,2,2345
1334,2,2707
1335,2,11212
1336,2,3528
1337,2,8881
1339,2,1807
1340,25,2296
1341,25,731
1342,26,3370
1343,27,1876
1344,27,2192
1345,27,6378
1346,28,7621
1347,28,3470
1361,29,4862
1362,29,2821
1363,29,2411
1364,29,2362
1365,30,1727
1366,30,1052
1367,31,1531
1368,32,1175
1369,32,2920
1370,32,3396
1391,33,918
1392,33,1676
1393,28,1539
1394,34,3005
1395,34,2102
1396,35,1308
1397,34,1317
1398,34,1442
1399,34,1706
1400,34,7484
1401,36,3530
1402,36,7596
1403,36,855
1404,36,551
1405,3,1454
1406,3,1915
1407,3,1989
1408,3,10060
1409,3,607
1421,10,2192
1422,10,3527
1423,1,2574
1424,15,3600
1425,15,1953
1427,37,3289
1428,37,5537
1429,37,7011
1430,10,2106
1431,38,1422
1432,15,3725
1433,20,2260
1434,20,1745
1436,15,1761
1437,20,1424
1438,20,2343
1439,39,1272
1452,4,3281
1453,4,2551
1454,4,4047
1455,4,2487
1456,4,2216
1457,4,3451
1458,4,3489
1459,4,5920
1460,21,5242
1461,21,2930
1462,21,1580
1463,21,1140
1464,17,2476
1465,17,2294
1466,17,1207
1467,18,2865
1468,18,2371
1469,40,3208
1470,40,575
1471,41,1248
1481,12,2884
1482,12,2103
1483,42,2346
1484,42,4638
1485,42,883
1486,43,2086
1487,44,2289
1488,44,1428
1511,45,1421
1512,45,2471
1513,45,1273
1514,46,3649
1515,46,1280
1516,14,2570
1517,47,2248
1518,48,1920
1519,48,1914
1541,11,1374
