i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,10
1216,15
1217,1
1218,15
1219,16
1220,17
1221,18
1222,10
1223,19
1224,1
1225,20
1226,20
1227,15
1228,21
1229,22
1230,5
1231,1
1233,23
1301,1
1302,1
1303,1
1304,24
1305,1
1306,25
1331,26
1332,26
1333,2
1334,2
1335,2
1336,2
1337,2
1339,2
1340,27
1341,27
1342,28
1343,29
1344,29
1345,29
1346,30
1347,31
1361,32
1362,32
1363,32
1364,32
1365,33
1366,33
1367,34
1368,35
1369,35
1370,35
1391,36
1392,36
1393,31
1394,37
1395,37
1396,38
1397,39
1398,39
1399,37
1400,37
1401,40
1402,40
1403,40
1404,40
1405,3
1406,3
1407,3
1408,3
1409,3
1421,10
1422,10
1423,1
1424,20
1425,20
1427,41
1428,41
1429,41
1430,42
1431,42
1432,20
1433,21
1434,21
1436,20
1437,21
1438,21
1439,43
1452,4
1453,4
1454,4
1455,4
1456,44
1457,44
1458,4
1459,4
1460,22
1461,22
1462,45
1463,45
1464,46
1465,17
1466,17
1467,18
1468,18
1469,47
1470,47
1471,48
1481,12
1482,12
1483,49
1484,49
1485,49
1486,50
1487,50
1488,48
1511,51
1512,51
1513,51
1514,52
1515,52
1516,14
1517,53
1518,54
1519,54
1541,11
1542,11
1543,11
1544,11
1545,55
1546,55
1547,55
1548,8
1549,8
1550,8
1551,8
1552,56
1553,57
1554,58
1555,58
1556,58
1557,59
1558,58
1559,58
1560,60
1561,16
1562,16
1563,61
1571,23
1572,23
1573,23
1574,23
1575,23
1578,5
1579,13
1580,9
1581,13
1582,13
1583,62
1601,63
1602,64
1603,64
1604,65
1605,65
1606,65
1607,66
1608,66
1609,67
1631,7
1632,68
1633,68
1634,69
1635,70
1636,70
1637,7
1638,71
1639,72
1640,73
1641,73
1642,73
1643,7
1644,7
1645,74
1646,75
1647,75
1648,75
1649,74
1661,6
1662,76
1663,77
1664,78
1665,78
1666,6
1667,6
1668,6
1669,6
1691,79
1692,80
1693,80
1694,81
2201,82
2202,83
2203,84
2204,83
2205,85
2206,86
2207,84
2208,87
2301,82
2302,82
2303,88
2304,82
2305,82
2306,88
2321,89
2322,85
2323,89
2324,85
2325,89
2326,85
2327,85
2328,90
2341,83
2342,83
2343,83
2361,83
2362,83
2363,83
2364,82
2365,83
2366,82
2367,83
2368,83
2381,91
2382,85
2383,85
2384,85
2385,92
2386,92
2401,93
2402,86
2403,84
2404,86
2405,86
2406,87
2407,84
2408,93
2409,86
2410,84
2411,93
2421,94
2422,87
2423,95
2424,87
2425,95
2426,95
2427,94
2441,96
2442,97
2443,96
2444,84
2445,96
2446,84
2447,84
2448,84
2449,97
2450,97
3201,98
3202,99
3203,100
3204,101
3205,102
3206,103
3207,104
3208,102
3209,105
3210,100
3211,106
3212,101
3213,107
3301,98
3302,108
3303,98
3304,98
3305,98
3306,98
3307,98
3321,98
3322,98
3323,98
3341,102
3342,102
3361,102
3362,103
3363,103
3364,103
3365,103
3381,101
3382,101
3383,101
3384,105
3401,105
3402,105
3421,105
3422,105
3423,105
3424,105
3425,109
3426,105
3441,100
3442,100
3461,106
3462,102
3481,99
3482,99
3483,110
3484,110
3485,104
3486,99
3487,111
3501,107
3502,84
3503,104
3504,112
3505,104
3506,107
3521,113
3523,113
3524,107
4201,114
4202,115
4203,114
4204,116
4205,109
4206,117
4207,114
4208,117
4209,114
4210,114
4211,114
4301,117
4302,117
4321,117
4322,117
4323,117
4324,118
4341,117
4361,114
4362,114
4382,114
4401,114
4404,114
4405,114
4406,114
