i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,1
1210,9
1211,8
1212,10
1213,11
1214,12
1215,9
1216,13
1217,1
1218,13
1219,14
1220,15
1221,16
1222,9
1223,17
1224,1
1225,13
1226,13
1227,13
1228,18
1229,19
1230,5
1231,1
1233,5
1234,1
1235,1
1236,2
1303,1
1304,9
1331,20
1332,20
1333,2
1334,2
1337,2
1343,2
1345,2
1346,21
1347,21
1361,22
1362,22
1363,22
1364,22
1367,23
1370,24
1371,24
1391,25
1392,25
1393,25
1394,26
1395,26
1396,26
1397,26
1398,26
1399,26
1400,26
1401,27
1402,27
1403,27
1404,27
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,13
1425,13
1427,1
1428,1
1429,1
1430,9
1431,13
1432,13
1433,18
1434,18
1436,13
1437,18
1438,18
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,19
1461,19
1462,19
1463,19
1464,15
1465,15
1468,16
1469,16
1470,16
1471,16
1472,28
1481,10
1482,10
1483,29
1484,29
1485,29
1486,30
1487,30
1511,31
1512,31
1513,31
1514,31
1516,12
1517,32
1518,33
1519,33
1520,30
1543,8
1544,8
1545,34
1546,34
1547,34
1549,8
1550,8
1552,35
1555,35
1559,35
1560,14
1561,14
1562,14
1563,14
1564,8
1571,5
1575,5
1578,11
1581,11
1584,5
1585,11
1586,11
1601,36
1602,36
1604,36
1607,37
1608,37
1609,37
1610,36
1631,7
1632,7
1633,7
1634,7
1635,7
1636,7
1637,7
1638,7
1639,7
1641,38
1642,38
1643,7
1644,7
1645,39
1646,40
1647,40
1648,40
1649,39
1661,6
1662,41
1663,41
1664,42
1665,42
1667,6
1668,6
1691,43
1692,43
1693,43
1694,44
2201,45
2202,46
2203,47
2204,46
2205,48
2206,49
2207,49
2208,50
2209,48
2210,46
2301,45
2303,45
2304,45
2307,45
2321,48
2323,48
2343,46
2361,46
2362,46
2367,46
2381,46
2384,48
2387,48
2401,49
2402,49
2405,49
2406,50
2408,49
2411,49
2412,49
2423,50
2424,50
2425,50
2426,50
2441,47
2442,47
2443,47
2445,47
2446,47
2450,47
3201,51
3202,52
3203,53
3205,54
3206,54
3207,55
3208,53
3209,54
3210,53
3211,56
3213,57
3214,51
3215,54
3216,51
3301,51
3302,51
3303,51
3321,51
3322,51
3366,54
3381,54
3402,54
3441,53
3461,56
3482,52
3483,52
3484,52
3485,55
3501,57
3503,55
3506,57
3507,47
3524,57
4100,58
4202,59
4203,58
4205,60
4206,61
4207,58
4208,61
4209,58
4211,58
4212,62
4213,62
4214,59
4215,62
4301,61
4302,61
4321,61
4322,61
4323,61
4324,61
4341,61
4361,58
4362,58
4401,58
4404,58
4406,58
4421,58
4422,58
4423,58
4424,58
4444,62
4445,62
4501,62
4505,62
4581,59
4606,60
5201,63
5202,64
5203,65
5204,66
5206,63
5207,65
5209,66
5210,67
5211,63
5212,65
5213,66
5214,67
5215,65
5303,66
5327,66
5346,64
5348,64
5349,64
5361,63
5363,63
5366,63
5368,63
5434,65
5463,65
5464,65
6201,68
6202,69
6203,70
6204,70
6205,71
6206,68
6207,68
6208,68
6209,69
6210,68
6211,68
6212,68
6213,69
6301,68
6302,68
6321,68
6322,68
6323,68
6324,68
6341,68
6361,71
6362,71
6363,71
6364,71
6365,71
6366,71
6367,71
6381,69
6382,69
6401,72
6402,69
6403,69
6426,70
6428,70
6461,70
7201,73
7202,74
7203,75
7204,76
7205,77
7207,77
7208,74
7209,76
7210,75
7211,75
7212,76
7213,73
7214,75
7301,73
7303,73
7308,73
7322,75
7342,77
7344,77
