municipality,cz,size
1100,1,674336
1202,2,123116
1203,3,62004
1204,4,144040
1205,5,42899
1206,6,85807
1207,7,69900
1208,8,54542
1209,9,6963
1210,10,36367
1211,11,18384
1212,12,12855
1213,13,64482
1214,14,20404
1215,10,13284
1216,15,9651
1217,1,34851
1218,15,7238
1219,16,12793
1220,17,12356
1221,18,14789
1222,10,5647
1223,19,15346
1224,1,30455
1225,15,19696
1226,15,8943
1227,15,2642
1228,20,12996
1229,21,11794
1230,5,19764
1231,1,21260
1233,5,13882
1234,1,17168
1235,1,19502
1236,2,14740
1303,1,6599
1304,22,1912
1331,23,4795
1332,23,2743
1333,2,2345
1334,2,2707
1337,2,8881
1343,2,1876
1345,2,8570
1346,24,9348
1347,24,3470
1361,25,4862
1362,25,2821
1363,25,2411
1364,25,2362
1367,26,1531
1370,27,3396
1371,27,5147
1391,28,918
1392,28,1676
1393,24,1539
1394,29,3005
1395,29,2102
1396,30,1308
1397,29,1317
1398,29,1442
1399,29,1706
1400,29,7484
1401,31,3530
1402,31,7596
1403,31,855
1404,31,551
1405,3,1454
1406,3,1915
1407,3,1989
1408,3,10060
1409,3,607
1423,1,2574
1424,15,3600
1425,15,1953
1427,32,3289
1428,32,5537
1429,32,7011
1430,10,2106
1431,33,1422
1432,15,3725
1433,20,2260
1434,20,1745
1436,15,1761
1437,20,1424
1438,20,2343
1452,4,3281
1453,4,2551
1454,4,4047
1455,4,2487
1456,4,2216
1457,4,3451
1458,4,3489
1459,4,5920
1460,21,5242
1461,21,2930
1462,21,1580
1463,21,1140
1464,17,2476
1465,17,2294
1468,18,2371
1469,34,3208
1470,34,575
1471,35,1248
1472,36,1272
1481,12,2884
1482,12,2103
1483,37,2346
1484,37,4638
1485,37,883
1486,38,2086
1487,39,2289
1511,40,1421
1512,40,2471
1513,40,1273
1514,41,4929
1516,14,2570
1517,42,2248
1518,43,1920
1519,43,1914
1520,39,1428
1543,11,10707
1544,11,3680
1545,44,6810
1546,44,2796
1547,44,3187
1549,8,3308
1550,8,2117
1552,45,3589
1555,46,10962
1559,46,5623
1560,16,1974
1561,16,2561
1562,47,547
1563,16,3025
1564,11,4229
1571,5,2018
1575,5,1736
