municipality,cz,size
1100,1,658810
1202,2,97497
1203,3,45110
1204,4,125650
1205,5,32227
1206,6,65868
1207,7,62870
1208,8,47368
1209,1,3713
1210,9,32384
1211,8,15528
1212,10,9592
1213,11,65329
1214,12,14440
1215,9,8865
1216,13,5669
1217,1,41403
1218,13,4137
1219,14,10199
1220,15,8586
1221,16,11889
1222,9,3142
1223,17,12524
1224,1,33693
1225,13,15900
1226,13,7003
1227,13,1341
1228,18,9012
1229,19,10327
1230,5,18304
1231,1,24087
1233,5,13349
1234,1,20667
1235,1,21280
1236,2,17852
1303,1,6556
1304,9,1299
1331,20,2808
1332,20,1747
1333,2,1977
1334,2,1845
1337,2,10015
1343,2,1659
1345,2,7169
1346,21,7633
1347,21,2383
1361,22,3321
1362,22,1808
1363,22,1804
1364,22,1458
1367,23,1143
1370,24,2426
1371,24,3572
1391,25,591
1392,25,1220
1393,25,1202
1394,26,2077
1395,26,1992
1396,26,1073
1397,26,1077
1398,26,1127
1399,26,1840
1400,26,6916
1401,27,2789
1402,27,5440
1403,27,708
1404,27,391
1405,3,937
1406,3,1318
1407,3,1499
1408,3,7541
1409,3,596
1423,1,3535
1424,13,2255
1425,13,1028
1427,1,2487
1428,1,4889
1429,1,5210
1430,9,1497
1431,13,976
1432,13,2809
1433,18,1209
1434,18,1052
1436,13,1122
1437,18,940
1438,18,1508
1452,4,2761
1453,4,3596
1454,4,2744
1455,4,1662
1456,4,1288
1457,4,1874
1458,4,3095
1459,4,4369
1460,19,4479
1461,19,2321
1462,19,1142
1463,19,760
1464,15,1566
1465,15,1528
1468,16,1452
1469,16,1990
1470,28,383
1471,28,826
1472,29,726
1481,10,1898
1482,10,1430
1483,30,1458
1484,30,3106
1485,30,496
1486,31,1292
1487,31,1604
1511,32,1336
1512,32,1878
1513,32,753
1514,32,4116
1516,12,1979
1517,33,1507
1518,34,1263
1519,34,1360
1520,31,1277
1543,8,8543
1544,8,2184
1545,35,6062
1546,35,1848
1547,35,2469
1549,8,2445
1550,8,1324
1552,36,2532
1555,36,8055
1559,36,4197
1560,14,1179
1561,14,1936
1562,14,462
1563,14,2328
1564,8,3225
1571,5,1680
1575,5,1262
1578,11,6267
1581,11,2181
1584,5,3938
1585,11,3260
1586,11,4098
1601,37,5785
1602,37,2491
1604,37,2405
1607,38,5989
1608,38,2054
1609,38,2434
1610,37,9816
1631,7,16954
1632,7,2911
1633,7,2186
1634,7,2560
1635,7,2758
1636,7,4146
1637,7,7636
1638,7,1771
1639,7,1641
1641,39,2729
1642,39,3338
1643,7,10919
1644,7,3000
1645,40,1510
1646,41,3429
1647,41,3219
1648,41,994
1649,40,2341
1661,6,8265
1662,42,4832
1663,42,3128
1664,43,3430
1665,43,3501
1667,6,1008
1668,6,3553
1691,44,7021
1692,44,10289
1693,44,2520
1694,45,2841
2201,46,111332
2202,47,72019
2203,48,92113
2204,47,15292
2205,49,21794
2206,50,27584
2207,50,16370
2208,51,23443
2209,49,14133
2210,47,14794
2301,46,5149
2303,46,1025
2304,46,1364
2307,46,2412
2321,49,4309
2323,49,3409
2343,47,658
2361,47,7129
2362,47,4491
2367,47,3586
2381,49,6980
2384,49,5962
2387,49,4418
2401,50,5592
2402,50,7085
2405,50,4442
2406,51,2100
2408,50,7982
2411,50,5687
2412,50,10182
2423,51,2449
2424,51,2984
2425,51,1100
2426,51,885
2441,48,4712
2442,48,7969
2443,48,2876
2445,48,8253
2446,48,5552
2450,48,1382
3201,52,118069
3202,53,22055
3203,54,16181
3205,55,42344
3206,55,38639
3207,56,14169
3208,54,11846
3209,55,47853
3210,54,9004
3211,53,14487
3213,57,12751
3214,52,12299
3215,55,51894
3301,52,8031
3302,57,2990
3303,52,6424
3305,52,22186
3321,52,14392
3322,52,11810
3366,55,2701
3381,55,7074
3402,55,3499
3422,55,3905
3441,54,2437
3461,53,5547
3482,53,6859
3483,58,4024
3484,58,1490
3485,56,1176
3501,57,4237
3503,56,1747
3506,57,2726
3507,56,6496
3524,57,5758
4100,59,377882
4202,60,60014
4203,59,21158
4205,61,27404
4206,59,14578
4207,59,27331
4208,59,12687
4209,59,24471
4211,59,17668
4212,62,33156
4213,62,29385
4214,60,16517
4215,62,54446
4301,59,5332
4302,59,616
4321,59,9802
4322,59,5005
4323,59,14513
4324,59,4270
4341,59,6220
4361,59,13789
4362,59,6345
4401,59,5677
4404,59,7867
4406,59,13368
4421,59,9751
4422,59,3636
4423,59,18194
4424,59,2312
4444,62,3237
4445,62,10406
4501,62,7017
4505,62,9905
4581,60,4125
4606,61,6870
5201,63,122328
5202,64,22445
5203,65,40925
5204,66,30477
5206,63,11621
5207,65,20511
5209,66,14209
5210,67,34999
5211,63,13259
5212,65,36594
5213,66,14095
5214,67,11312
5215,65,11866
5303,66,2236
5327,66,921
5346,64,1446
5348,64,7663
5349,64,3211
5361,63,3918
5363,63,2691
5366,63,2103
5368,63,1619
5434,65,9305
5463,65,7227
5464,65,1238
6201,68,101770
6202,69,35663
6203,70,57803
6204,70,46272
6205,71,16148
6206,68,18416
6207,68,14138
6208,68,11309
6209,69,12985
6210,68,26530
6211,68,19608
6212,68,8438
6213,69,14468
6301,68,6334
6302,68,5298
6321,68,8536
6322,68,2509
6323,68,3492
6324,68,4017
6341,68,3552
6361,71,2623
6362,71,4166
6363,71,2472
6364,71,3727
6365,71,1639
6366,71,2129
6367,71,2127
6381,69,11548
6382,69,7698
6401,72,3681
6402,69,6589
6403,69,3627
6426,70,3320
6428,70,9841
6461,70,6602
7201,73,109757
7202,74,49248
7203,75,123278
7204,76,128831
7205,77,26402
7207,77,32439
7208,74,21247
7209,76,15036
7210,75,24592
7211,75,17384
7212,76,28518
7213,73,27000
7214,75,13273
7301,73,5371
7303,73,4102
7308,73,6396
7322,75,3604
7342,77,5412
7344,77,2604
7362,78,2692
7364,78,305
7367,78,1940
7368,78,7384
7402,74,1440
7405,74,2942
7407,74,1574
7408,74,6510
7421,74,7409
7422,74,1510
7423,74,1591
7444,74,635
7445,79,803
7446,79,533
7447,74,9620
7461,77,8391
7464,77,2916
7465,77,2330
7466,77,7657
7481,77,6340
7482,77,2636
7483,77,4131
7484,77,1611
7501,77,7408
7502,77,3200
7503,77,3261
7504,77,2954
7505,77,2558
7521,75,7608
7522,75,4757
7541,76,2324
7542,76,3083
7543,76,6714
7544,76,1021
7545,76,4911
7546,76,2917
7547,76,8455
7548,75,701
7561,76,3409
7564,76,2635
8201,80,99439
8202,80,69195
8203,81,53424
8204,82,56926
8205,80,30791
8207,83,21559
8208,81,29488
8210,81,19033
8211,81,27008
8212,80,21470
8214,80,11848
8215,80,17908
8216,80,30383
8217,81,39760
8219,81,30344
8220,81,74635
8221,80,59399
8222,84,22614
8223,84,12032
8224,81,24401
8225,80,18056
8226,80,20991
8227,83,43521
8228,81,23963
8229,81,17582
8230,81,17432
8231,83,18207
8232,84,38544
8233,84,16661
8234,84,22098
8235,81,17604
8236,80,21237
8302,80,14261
8309,80,7810
8310,80,8689
8341,80,14499
8364,80,8062
8442,81,6898
8443,81,18714
8447,81,3925
8521,81,10103
8542,82,3656
8546,82,10701
8564,81,6161
9201,85,191901
9202,86,59572
9203,87,54802
9204,87,47143
9205,87,42129
9206,85,37258
9208,83,63087
9209,85,36142
9210,85,31672
9211,85,14711
9213,85,48173
9214,85,17510
9215,85,12109
9216,85,23572
9301,85,13557
9321,87,2853
9342,85,10391
9343,85,6151
9344,85,5408
9345,85,7312
9361,87,15758
9364,83,10435
9367,87,7557
9384,85,5427
9386,85,13308
9407,85,10315
9411,85,8113
10201,88,128216
10202,89,137448
10203,88,45935
10204,88,81048
10205,86,83515
10206,90,20329
10207,86,30183
10208,88,32832
10209,89,26746
10210,89,21005
10211,89,22893
10212,88,20853
10344,88,5751
10345,88,7752
10366,89,499
10367,89,768
10382,89,3409
10383,89,742
10384,89,5706
10421,88,7254
10424,91,2578
10425,91,4775
10426,91,3518
10428,88,1519
10429,88,6374
10443,90,2087
10444,90,1390
10448,90,3409
10449,90,8594
10464,88,14474
10521,86,6558
10522,86,4694
10523,86,4588
10524,86,17048
10525,86,10741
11100,92,444531
11201,93,117671
11202,94,75212
11203,92,191323
11206,95,33170
11207,94,24417
11208,93,116848
11209,93,30339
11210,95,45690
11211,94,31024
11212,93,33834
11214,82,84648
11215,93,56401
11216,95,21115
11217,95,44464
11218,94,55421
11219,95,82299
11221,96,83548
11222,96,114991
11223,92,26392
11224,92,47546
11225,93,55066
11226,92,23070
11227,97,46644
11228,97,25566
11229,97,32067
11230,97,57436
11231,95,27309
11232,82,57471
11233,95,24511
11234,96,30535
11235,97,38780
11237,96,50556
11238,95,23151
11239,93,36090
11240,82,19694
11241,93,25996
11242,93,21450
11243,96,24186
11245,97,37849
11301,95,16175
11324,97,14240
11326,93,13306
11327,93,4880
11341,93,6654
11342,93,7149
11343,93,12835
11346,93,8853
11347,93,8514
11348,93,5545
11349,93,5172
11361,94,3289
11362,94,4124
11363,94,2934
11365,94,5281
11369,93,1139
11381,94,4542
11383,94,5737
11385,94,12121
11408,94,13899
11442,82,12106
11445,95,18945
11464,82,16952
11465,96,11356
12100,98,327342
12202,84,28161
12203,92,169766
12204,92,217368
12205,99,18516
12206,99,48345
12207,92,172223
12208,92,56569
12210,100,34308
12211,98,50937
12212,98,61730
12213,98,22612
12215,98,30073
12216,92,63002
12217,92,141861
12218,100,7123
12219,99,95245
12220,92,59485
12221,92,66114
