year,cutoff,municipalities,zones_unconstrained,zones_constrained,mean_similarity,labour_weighted_similarity,municipalities_in_a_changed_zone,share_of_labour_force_in_a_changed_zone,mean_contained_unconstrained,mean_contained_constrained,labour_weighted_contained_unconstrained,labour_weighted_contained_constrained,share_contained_unconstrained,share_contained_constrained,noncontiguous_zones_unconstrained,noncontiguous_zones_constrained,broken_zones_unconstrained,broken_zones_constrained
1980,0.98,1656,350,352,0.9869354795780982,0.956188492290365,47,0.11538659746900659,0.9169922855327305,0.9153942149439932,0.8905949301170701,0.8903974833210965,0.8903130714200082,0.8890737400641652,1,0,1,0
1980,0.977,1656,384,385,0.9894846861181402,0.958280683338811,36,0.11052011161427715,0.9105955994216322,0.9101629373609227,0.8867645022839421,0.8879147162444303,0.887245672204475,0.8867456108764031,2,0,2,0
1985,0.98,1656,317,318,0.992324288881498,0.9816444542532559,79,0.18652305808282973,0.9102575335310318,0.9115650526166114,0.8867321437089928,0.8887431284378519,0.8828867616347853,0.8844151139999048,2,0,2,0
1985,0.977,1656,341,343,0.9934515030521905,0.9837901943999036,78,0.18638975009107608,0.904195464436588,0.9034738695945764,0.8831038211681018,0.8853270213290432,0.8805118326578694,0.881964568795021,2,0,2,0
1990,0.98,1656,281,281,0.9941772438524253,0.9857546265031544,47,0.12188437114116704,0.9103839489983073,0.9100537513996928,0.8795822685551117,0.8815918979748496,0.8737908881474047,0.8754390997977983,1,0,1,0
1990,0.977,1656,307,307,0.9941772438524253,0.9857546265031544,47,0.12188437114116704,0.8994183524314068,0.8991161194502645,0.876292946382927,0.8783025758026648,0.8708542147257501,0.8725024263761437,1,0,1,0
1995,0.98,1656,261,262,0.9976779963193007,0.9956545659944624,32,0.10115169936985495,0.9028943472143774,0.9016492693826269,0.8750057212688293,0.8750597645767654,0.8680315276952303,0.8679678736491567,2,0,2,0
1995,0.977,1656,281,282,0.9976779963193007,0.9956545659944624,32,0.10115169936985495,0.892210775374901,0.8910918859419961,0.8674139553118214,0.8674679986197574,0.863327073581189,0.8632634195351154,2,0,2,0
2000,0.98,1656,240,240,0.9988425925925926,0.9994222752702087,4,0.0015189845855310196,0.908598901476834,0.9084827912040161,0.87603410116102165,0.8760221072430999,0.8701860546312775,0.8701863192495667,1,0,1,0
2000,0.977,1656,261,261,0.9988425925925926,0.9994222752702087,4,0.0015189845855310196,0.8987121100408654,0.8986053419739064,0.8703795499123171,0.8703675559943956,0.8663321349653074,0.8663323995835966,1,0,1,0
2005,0.98,1656,227,227,0.9929311742438428,0.9812018693924497,45,0.11864408992409638,0.9064020027009386,0.9059708441380331,0.869554265452795,0.8726609234962595,0.8635149869834543,0.8659198172712725,0,0,0,0
2005,0.977,1656,239,240,0.9879597214968592,0.9578112294754229,45,0.11864408992409638,0.9007647328824354,0.8983327514599962,0.8668950872466773,0.8678981403020661,0.8609273440983091,0.8608662417272701,0,0,0,0
2010,0.98,1656,216,216,1,1,0,0,0.907838993420172,0.907838993420172,0.870407422218805,0.870407422218805,0.8628405676460608,0.8628405676460608,0,0,0,0
2010,0.977,1656,231,231,1,1,0,0,0.899673955231703,0.899673955231703,0.8650670120477522,0.8650670120477522,0.8578640837328856,0.8578640837328856,0,0,0,0
2015,0.98,1651,215,214,0.9953857053001511,0.9955655563436419,49,0.11181278768252424,0.9052681645073334,0.9049468812785532,0.8672983204965925,0.8675579114422163,0.8584064573196937,0.8583849523816762,2,0,2,0
2015,0.977,1651,225,223,0.9898427560868297,0.9711565078728188,49,0.11181278768252424,0.9008429244431824,0.9027929065309243,0.8614173103014083,0.8636773554251461,0.8531000706812902,0.8556074471341258,2,0,2,0
2020,0.98,1655,208,208,0.9897525704649767,0.9958493013337314,72,0.02487313388185181,0.9079922911817108,0.9077929579640831,0.8744777674011867,0.874522522210554,0.865440745252999,0.8658902728676269,1,0,1,0
2020,0.977,1655,223,223,0.9886642427730041,0.9929702059449139,66,0.024702799994805496,0.9035732044177235,0.9031380303913465,0.8702326979693837,0.869804805751958,0.861429871628578,0.861597439723725,1,0,1,0
