year,cutoff,municipalities,municipalities_on_islands,zones,island_zones,labour_force,labour_force_on_islands,share_of_labour_force_on_islands,mean_contained_islands,mean_contained_in_scope,mean_similarity_to_baseline,municipalities_in_a_changed_zone
1980,0.98,3256,153,687,96,46497979,434038,0.009334556239530325,0.9526664540108487,0.8901008694580359,1,0
1980,0.977,3256,153,739,100,46497979,434038,0.009334556239530325,0.951119262197985,0.8843374195916804,1,0
1985,0.98,3254,153,621,93,48269232,423112,0.008765666708763878,0.9426118246603233,0.8834343520057085,1,0
1985,0.977,3254,153,673,95,48269232,423112,0.008765666708763878,0.9413927541143401,0.8767530718037692,1,0
1990,0.98,3246,153,550,91,52072091,401308,0.0077067771294223614,0.9444713939633088,0.8795151534730575,1,0
1990,0.977,3246,153,603,91,52072091,401308,0.0077067771294223614,0.9444713939633088,0.8697896989087376,1,0
1995,0.98,3233,153,506,90,53595949,395312,0.007375781330040448,0.9445648980755416,0.8745592595969406,1,0
1995,0.977,3233,153,552,91,53595949,395312,0.007375781330040448,0.942169314973368,0.8659700242004793,1,0
2000,0.98,3229,152,462,87,53173075,375858,0.007068577470834629,0.9457442123325556,0.8743989315250765,1,0
2000,0.977,3229,152,501,89,53173075,375858,0.007068577470834629,0.9430671024396464,0.8645642674626525,1,0
2005,0.98,2217,73,326,58,50808827,258076,0.005079353632785106,0.9745681781611959,0.8840645921762185,1,0
2005,0.977,2217,73,346,58,50808827,258076,0.005079353632785106,0.9745681781611959,0.8766605961206909,1,0
2010,0.98,1728,63,267,52,47059134,233419,0.0049601210256015335,0.9853021699803984,0.8957985292572399,1,0
2010,0.977,1728,63,284,52,47059134,233419,0.0049601210256015335,0.9853021699803984,0.8871133094618416,1,0
2015,0.98,1714,63,266,52,46546782,227039,0.004877651907279004,0.9843340895876563,0.8905879055770383,1,0
2015,0.977,1714,63,275,52,46546782,227039,0.004877651907279004,0.9843340895876563,0.8872987956560656,1,0
2020,0.98,1718,63,260,52,46499393,215526,0.004635028246497756,0.9847809227489184,0.8940709012816894,1,0
2020,0.977,1718,63,275,52,46499393,215526,0.004635028246497756,0.9847809227489184,0.8891217733934642,1,0
