year,cutoff,zone,municipalities,muni_names,resident_labour_force,mean_contained,labour_weighted_contained
1980,0.98,79,1,檜山支庁奥尻町,1874,0.9994663820704376,0.9994663820704376
1980,0.98,80,1,宗谷支庁礼文町,2261,1,1
1980,0.98,81,2,宗谷支庁利尻町; 宗谷支庁東利尻町,4461,0.9997868712702472,0.9997758350145707
1980,0.98,592,1,大島支庁大島町,4374,0.9970278920896205,0.9970278920896205
1980,0.98,593,1,大島支庁利島村,144,1,1
1980,0.98,594,1,大島支庁新島本村,1304,0.9992331288343558,0.9992331288343558
1980,0.98,595,1,大島支庁神津島村,837,1,1
1980,0.98,596,1,三宅支庁三宅村,1754,0.9971493728620296,0.9971493728620296
1980,0.98,597,1,三宅支庁御蔵島村,112,1,1
1980,0.98,598,1,八丈支庁八丈町,4057,0.9972886369238353,0.9972886369238353
1980,0.98,599,1,八丈支庁青ヶ島村,85,1,1
1980,0.98,600,1,小笠原支庁小笠原村,762,0.9986876640419947,0.9986876640419947
1980,0.98,601,7,両津市; 佐渡郡相川町; 佐渡郡佐和田町; 佐渡郡金井町; 佐渡郡新穂村; 佐渡郡畑野町; 佐渡郡真野町,33434,0.989383845589115,0.9904887240533589
1980,0.98,602,3,佐渡郡小木町; 佐渡郡羽茂町; 佐渡郡赤泊村,6611,0.9574491842102404,0.9581001361367418
1980,0.98,603,1,岩船郡粟島浦村,302,1,1
1980,0.98,604,1,鹿島郡能登島町,1842,0.8783930510314875,0.8783930510314875
1980,0.98,605,1,飾磨郡家島町,3156,0.988276299112801,0.988276299112801
1980,0.98,606,1,八束郡八束町,1973,0.7141409021794222,0.7141409021794222
1980,0.98,607,4,隠岐郡西郷町; 隠岐郡布施村; 隠岐郡五箇村; 隠岐郡都万村,8372,0.9962895869109163,0.9959388437649307
1980,0.98,608,1,隠岐郡海士町,1359,0.9602649006622517,0.9602649006622517
1980,0.98,609,1,隠岐郡西ノ島町,1776,0.9836711711711712,0.9836711711711712
1980,0.98,610,1,隠岐郡知夫村,383,0.9712793733681462,0.9712793733681462
1980,0.98,611,4,因島市; 豊田郡瀬戸田町; 越智郡上浦町; 越智郡大三島町,24021,0.9477679445393999,0.9499604512718038
1980,0.98,612,1,安芸郡下蒲刈町,1490,0.5228187919463088,0.5228187919463088
1980,0.98,613,1,安芸郡蒲刈町,1703,0.64063417498532,0.64063417498532
1980,0.98,614,1,佐伯郡宮島町,1474,0.7265943012211669,0.7265943012211669
1980,0.98,615,2,豊田郡豊浜町; 豊田郡豊町,4028,0.9266868831950952,0.9289970208540218
