earlier_year,later_year,cutoff_earlier,cutoff_later,municipalities,mean_similarity,labour_weighted_similarity_earlier,labour_weighted_similarity_later,sd_similarity,role
2010,2020,0.98,0.98,1655,0.8507936015010562,0.8294188899316219,0.8280191034525368,0.2419594340866975,baseline
2010,2020,0.977,0.977,1655,0.8585937199176167,0.8285482434904259,0.8264010861656206,0.23971568036821794,baseline
2010,2015,0.98,0.98,1651,0.884284511178959,0.871032855831223,0.8703162893724172,0.22098388389762327,baseline
2010,2015,0.977,0.977,1651,0.8887112112739731,0.8794481205814572,0.8788220434449229,0.21799008463828126,baseline
2005,2015,0.98,0.98,1651,0.8703860987726326,0.8622296516463079,0.8616915567634514,0.23068856609408916,baseline
2005,2015,0.977,0.977,1651,0.8544659058731522,0.8474808047110286,0.8477147718281043,0.242029010063169,baseline
1980,1990,0.98,0.98,1656,0.792493484787248,0.7973092608640513,0.7926635377737269,0.2648801879455002,appendix
1980,1990,0.977,0.977,1656,0.7797554629062747,0.7847295406907371,0.7823110986390609,0.2682034466636685,appendix
1990,2000,0.98,0.98,1656,0.8333141224205053,0.8606411486582298,0.8587041621028968,0.2552310984100212,appendix
1990,2000,0.977,0.977,1656,0.838748738854505,0.8751867703266861,0.8742993209869249,0.2499301635932174,appendix
2000,2010,0.98,0.98,1656,0.8470480511093733,0.8453765466374258,0.8453947637118446,0.2361101232166685,appendix
2000,2010,0.977,0.977,1656,0.856044979044418,0.859705524925768,0.8597948153600661,0.2329112963794193,appendix
